Class,MW,AlogP,#HBA,#HBD,PSA,#ROTB,#ALERTS,MlogP,#MR,#HeavyAtoms,#NHOH,#NO,#AromaticCarbocycles,#AromaticHeterocycles,#Heteroatoms,Morgan2,HeavyAtomMW,MaxPartialCharge,MinPartialCharge,#ValenceElectrons,BertzCT,Kappa1,N_dop,Br_dop,C_dop,O_dop,S_dop,F_dop,Cl_dop,AROMATIC_dop,SINGLE_dop,TRIPLE_dop,num_atom_dop,AlCOO_dop,AlOH_dop,AlOHnt_dop,ArN_dop,Ar_N_dop,ArNH_dop,ArOH_dop,COO_dop,CO_dop,CO_clean_dop,Imine_dop,NHtert_dop,NHsec_dop,NHpri_dop,XCCNR_dop,TACA_dop,Npyrrl_dop,Alk_hal_dop,Alk_oxid_dop,Amide_dop,Aniline_dop,Ar_methyl_dop,Bicycl_dop,Ester_dop,EtherO_dop,Furan_dop,Imidazole_dop,Imide_dop,Ket_dop,OMe_dop,RCN_dop,Nitro_dop,paraHX_dop,PhOH_dop,PhOHno_dop,Piprzn_dop,Priamide_dop,Sulfamd_dop,Urea_dop,cc-c(c)ccc,ccccs,csccn,c1cscn1,ccsc(n)N,cncN,cnc(c)-c,cccc-c(c)n,ccncN,ccc(c)-c(c)n,ccc(c)-cnc,cnc(c)-c(c)c,ccccNC,cc(c)CN,cnccn,ccccn,cccc(c)nc,cncNCC,cccc(c)CN,ccccnc,ccc(cc)CN,cccncNC,ccccncN,CCOC,COC(C)O,CCCO,OCCO,CCC(C)O,CC[C@@H](C)O,CCCOC,CO[C@H](C)C,CCCOCC,cccc(c)N,ccccc(c)N,cc(-c)ccN,ccccc(c)O,cccc(c)CC,cccc(c)OC,CCC(C)C,ccc(c)CCC,ccc(c)OCC,cc(c)CCCC,CCC(C)CC,cc(c)OCCC,CCCCO,CCC(C)COc,cc(O)cccC,cccco,cccc(c)cc,ccc(cc)OC,ccccNCC,cccc(c)NC,ccc(N)nc,ccccN(C)C,CNCCN,CCN(C)C,ccc(c)CNC,ccc(c)NCC,ccc(n)NCC,cc(n)N(C)CC,CNCCN(c)C,cccN(C)CC,ccc(c)N(C)C,CCNCCN,CCNCC,cc(c)CN(C)C,ccc(c)c(c)[nH],cc(n)N(C)C,CN(cn)CCN,ccN(C)CCN,ccN(CC)CC,cc(c)N(C)CC,CCN(C)CCN,ccCN(C)CC,c1cc[nH]c1,cccc(n)NC,C1CNCCN1,cccc([nH])cc,ccncC,cccncn,cncCN,cnc(c)C,cc(C)cn,cnc(c)n,ccnc(c)C,cnc(C)cn,cnc(n)cn,Cc1nccn1,ccnccC,Cccncn,nccncn,C=CC,C=CCC,ccc(C)c(c)O,cc(C)c(c)N,CC=C(C)CCC,COc(cC)cc,cccNCCC,cc(C)c(c)NC,CCCCNC,C=C(C)CCCC,CCC[C@H](C)C,cc(c)NCCC,CCCCCC,CCCC(C)CC,CCC[C@@H](C)CC,CCCCCCC,cc(c)Cc(c)c,cccc(C)cC,ccc[C@H](C)O,cccCOC,ccc(cC)CC,cc(C)cc(c)O,cc(c)C[C@@H](C)C,ccCC[C@@H](C)C,c1cCCCC1,cc(cC)CCC,cc(C)c(c)CC,cc(cCC)CC,cc(C)ccOC,cc(ccO)CC,cccCOCC,CCCCOC,CCOC(C)C,CccCCCC,CCcccOC,cnc(n)N,ccc(N)c(c)C,cc-ccnc,cc-c(cc)nc,ccc-c(c)cc,cccnC,cnCOCC,ccn(c)CC,ccn(C)cn,cccn(c)C,cn(c)CCC,ccn(c)C,cccn(C)cn,cncn(c)CC,cccn(c)CC,ccnCCCC,C1CCOC1,CCC[C@@H](C)O,CCCCCO,cc(c)Oc(c)c,ccc(c)CCN,CNC(C)C,CNCCO,ccc-ccC,cc(c)CCNC,CN[C@@H](C)C,CNC[C@@H](C)NC,CCCNC,cc(c)OCCN,CCOCCN,CNCCCN,CCNC(C)C,CCCNCC,CCCCN(C)C,CCN[C@H](C)CN,CCCNCCN,CCCCNCC,CN(C)CCCN,cc(c)-n(c)cn,Ccncn,ncncn,ccc(c)CCO,ccc(c)c(c)C,cc(C)cc(c)[nH],cc(C)cccC,ccc(c)ccC,ccc[nH]cC,cc(CC)c(c)c,cc(cC)CCO,Cccccc[nH],cc(C)cc(c)c,CCS,CCSC,CC=N,C=NC,N=C(N)N,CCN=CN,C=NCC,ccCSCCN,CC[C@H](C)NC,c1c[nH]cn1,CCC(C)(C)CC,C=CC(C)CCC,C=CCC(C)CC,CCC(C)C(C)C,C=C(C)C(C)C,C=C(C)C(C)CC,C=CC(C)(C)CC,C=C(CC)C(C)C,CCC(CC)CC,C=CC(C)C(C)C,C1CCCCC1,C=CC(CC)CC,ccccc(c)S,NS,ccc[nH]c,CNS,ccc[nH]cn,cc-cnn,ccnc(n)CC,c1cnc[nH]c1,CCN(CC)CC,ccc(c)C(C)C,CC(C)cn,cc(c)C(C)CC,Cncccn,cc(n)cn(c)C,ccc(c)c(c)c,CCNCN,CCNC=Nc,CNC(=N)N,cN=CNCCN,CCNC(=N)N,ccc(C)c(c)N,CCcnC,CcnCC,ccnc(c)-c,cccc(c)nC,ccc-c(n)cc,cc-c(c)ncc,ccc(c)-c(c)c,CccccnC,ccccnCC,CNCCCO,CCNCCCO,CCC[C@H](C)NC,CCN(C)[C@@H](C)C,CC[C@@H](O)CCN,CC[C@@H](CC)NC,CN1CCCC1,CCCC[C@@H](C)O,C1CCNCC1,CCCC[C@H](C)N,CCN[C@@H](C)CC,CCCN[C@@H](C)C,CCCNCCC,ccCNCcc,cnccCCC,c1cnnc1,cc(o)CN(C)C,cccCS,ccNCCCC,cncNCCC,cc(C)cc(c)C,cncccN,cNCCN(C)C,cCC(CC)CC,ccCCNc,cc(N)c(c)CC,cc(c)CC(C)N,cccNC(C)C,cc(cN)CCC,cc(C)cNCC,C[C@H](C)C(C)CO,cc(c)CCCN,ccc(c)n(c)C,cnc(C)nC,CCC(C)CNC,CC(c)C(C)CN,cCCCN(C)C,CC(C)CN(C)C,CccCCCN,ccCCCNC,CCNCC(C)C,ccc(n)c(c)n,cc(C)cccn,ccc(C)ccn,ccCCN(C)C,ccc(c)/C=C\C,cc(C)cCCN,ccCNCCC,ccCNC(C)C,C=CCNC,C=CCN(C)C,C=CCCN(C)C,CC(N)CN(C)C,C=CCCNCC,cCC(C)N(C)C,C=CN,CNC(C)C(C)C,CC(C)CCCN,CCCC(C)CN,CC=CC(C)CC,CCC(C)C(C)N,CCC(CC)CN,ccC(C)CCC,ccC(C)CNC,CCNCC(c)C,CCN(C)CCO,CC(C)C(C)CN,cc(c)cccn,cccnc(c)c,ccNCC(C)C,CCC(N)CCN,CNCCCCN,ccCC(C)NC,ccC(C)CCN,CCC(C)CNc,CC(N)CCN,CC(CN)CCN,ccC(C)(C)CC,ccCC(N)CC,cc(N)cccO,ccOCCCN,cc(c)NCCN,ccc(c)C(C)N,cCNC(C)CN,cCCCCCN,cCCCC(C)C,CC(C)CC(C)N,ccc(c)Cnc,cc(C)c(C)cO,Ccc(C)cOC,CCCNCCO,ccNC(C)CC,CNCCCCO,CC(CO)CCN,cc(c)C(C)CO,CCC(C)C(C)c,cc1cOCC1,cc(O)c(c)CC,cc(C)cC(C)C,CccC(C)CO,CCc(cC)cO,cc(CC)cOC,cCC(N)C(C)C,cc(C)cCCO,cC(CO)CCN,CCC(C)ccO,CCC(CN)CN,cc(c)N(c)CC,ccc(S)c(c)N,cc(S)c(c)NC,CCCCNCN,CC(C)CNCN,C[X],c[X],E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,Activity
0,182.17,-3.59,6.0,6.0,121.38000000000001,5.0,0.0,-3.59,38.2,12.0,6.0,6.0,0.0,0.0,6.0,0.92,168.06,0.11057860653131252,-0.393579134968567,74.0,104.61,11.76,0,0,6,6,0,0,0,0,11,0,12,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,52.1769142101285,0.0,0.0,0.0,-6.391944444444446,-1.4516364323507176,-1.6
0,275.34,1.67,4.0,3.0,106.39,3.0,2.0,1.67,77.32,19.0,5.0,6.0,1.0,1.0,7.0,2.21,262.23,0.22074774239987874,-0.3697711728357696,98.0,630.55,13.03,5,0,12,1,1,0,0,11,7,0,19,0,0,0,0,1,0,0,0,1,1,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,2,2,2,2,1,3,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.201680566791048,5.0788304936172,12.96981528852741,-0.13470445344498327,7.406556017468716,0.0,1.4646424185682845,-1.57
0,415.29,4.98,5.0,2.0,75.11,4.0,1.0,4.98,90.27,29.0,2.0,5.0,2.0,1.0,11.0,1.45,404.21,0.41598952201322853,-0.47640720896224803,152.0,1062.11,20.37,3,0,18,2,0,6,0,17,13,0,29,0,0,0,0,2,0,0,1,1,0,0,2,1,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,4,4,4,0,2,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,76.40846969137596,19.134406788631175,11.887088775822543,-2.200565626196383,-1.7653336400752528,6.59627825166415,-9.113484476482956,-0.11352643140589591,-1.57
0,543.48,-5.6,17.0,8.0,285.14,9.0,1.0,-5.6,101.05,34.0,8.0,18.0,0.0,0.0,20.0,1.35,518.28,0.3969446838835888,-0.3879455933320318,200.0,911.18,29.12,1,0,14,17,2,0,0,0,30,0,34,0,5,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,17,9,11,11,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,3,0,0,1,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.72741718938912,11.389836861202822,53.051470284569376,0.0,-0.7286970288938457,-1.556117590605776,-16.981646898058788,-1.0575595516563223,-1.54
0,314.38,1.18,6.0,4.0,137.5,3.0,4.0,1.18,88.75,22.0,6.0,8.0,1.0,1.0,9.0,2.23,300.27,0.21237395397225434,-0.3697711728357696,112.0,751.4,15.27,8,0,13,0,1,0,0,11,9,1,22,0,0,0,0,1,0,0,0,0,0,2,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,2,2,2,2,1,3,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.180389134508003,16.443945419559597,13.096557145133811,0.33501532593388705,7.534264429537247,1.8144012477329161,0.0,-1.54
0,250.28,1.13,5.0,4.0,117.75000000000001,2.0,3.0,1.13,66.35,17.0,6.0,6.0,1.0,1.0,7.0,2.0,240.2,0.2123739616749428,-0.5042596178509078,88.0,575.43,11.21,4,0,10,2,1,0,0,11,6,0,17,0,0,0,0,1,0,2,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,1,1,1,1,1,2,2,2,2,1,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.983038076341648,20.758867537768605,11.78000284834881,-0.42428713151927333,4.455689562862181,0.0,0.0,-1.54
0,266.34,2.77,4.0,2.0,66.76,8.0,2.0,2.77,73.71,19.0,2.0,4.0,1.0,0.0,4.0,2.05,244.16,0.1663474979619684,-0.5070543721391145,106.0,412.61,15.51,0,0,15,4,0,0,0,6,12,0,19,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.422315995842782,11.857851481080647,18.48041742878236,0.3438964737129424,0.7106330393081497,4.7501531399596875,1.8675567359761982,4.567175705337231,-1.52
0,430.5,4.58,7.0,3.0,113.29,13.0,2.0,4.58,116.18,31.0,3.0,7.0,2.0,0.0,7.0,1.48,400.26,0.3031802127260486,-0.507531960357801,168.0,889.49,24.05,0,0,24,7,0,0,0,12,18,0,31,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,4,1,4,4,2,0,2,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.224325942174483,22.701599890569153,28.742895495427746,0.8842670430051787,0.20325638627077036,9.581330164502937,2.051847157170239,4.777144587546161,-1.52
0,410.47,4.97,6.0,1.0,85.97000000000001,10.0,3.0,4.97,114.6,30.0,1.0,6.0,2.0,1.0,6.0,1.6,384.26,0.3356925213814026,-0.5070543721391144,158.0,1066.72,21.43,0,0,24,6,0,0,0,17,13,0,30,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,4,1,2,4,2,0,2,2,0,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.503728082503446,23.394830591910093,10.928903870110553,0.43915702421151637,1.28724672045758,13.281054867299197,1.932827443568121,4.898918066606162,-1.52
0,442.55,2.33,6.0,3.0,110.43,6.0,0.0,2.33,123.28,31.0,3.0,9.0,1.0,2.0,10.0,1.94,416.34,0.26992395677976966,-0.38233673271618007,164.0,1198.8,20.98,6,0,21,3,1,0,0,16,15,0,31,0,0,0,0,2,1,0,0,1,1,0,3,3,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,6,2,2,0,4,0,2,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,6,2,0,1,2,2,3,2,0,1,2,0,2,1,2,2,1,0,1,2,1,2,1,3,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35768802816522,24.712605270391755,4.111467332314862,2.739169738095327,0.8420061912600801,10.83514019713246,2.889112167902004,5.45328647968037,-1.52
